,ntaname,Total
0,East New York,218
1,Williamsbridge-Olinville,205
2,Crown Heights North,200
3,East Concourse-Concourse Village,200
4,Central Harlem North-Polo Grounds,199
5,Mount Hope,168
6,University Heights-Morris Heights,165
7,Bedford Park-Fordham North,154
8,East Tremont,140
9,Morrisania-Melrose,130
10,Prospect Lefferts Gardens-Wingate,126
11,West Farms-Bronx River,120
12,Highbridge,118
13,Flatbush,118
14,Stuyvesant Heights,114
15,Melrose South-Mott Haven North,112
16,Brownsville,111
17,Norwood,110
18,West Concourse,109
19,Clinton,107
20,Washington Heights South,105
21,East Harlem North,104
22,Ocean Hill,103
23,Rugby-Remsen Village,103
24,Belmont,102
25,Far Rockaway-Bayswater,100
26,Mott Haven-Port Morris,99
27,Marble Hill-Inwood,95
28,Claremont-Bathgate,95
29,Canarsie,94
30,Corona,94
31,Hunts Point,92
32,Woodlawn-Wakefield,91
33,Hammels-Arverne-Edgemere,90
34,Bushwick South,89
35,Hudson Yards-Chelsea-Flatiron-Union Square,87
36,Bronxdale,87
37,Van Cortlandt Village,87
38,Soundview-Castle Hill-Clason Point-Harding Park,86
39,Washington Heights North,86
40,Longwood,84
41,Bedford,83
42,East New York (Pennsylvania Ave),79
43,Eastchester-Edenwald-Baychester,78
44,South Jamaica,77
45,East Harlem South,77
46,Fordham South,77
47,Flushing,74
48,Crotona Park East,73
49,East Flatbush-Farragut,72
50,Soundview-Bruckner,71
51,St. Albans,69
52,Jackson Heights,66
53,Hunters Point-Sunnyside-West Maspeth,64
54,Hamilton Heights,64
55,West New Brighton-New Brighton-St. George,63
56,Pelham Parkway,63
57,Parkchester,62
58,Bay Ridge,61
59,Baisley Park,60
60,Astoria,60
61,Jamaica,60
62,Richmond Hill,59
63,Queens Village,59
64,South Ozone Park,59
65,Erasmus,57
66,Central Harlem South,57
67,Westchester-Unionport,56
68,Flatlands,56
69,Upper West Side,54
70,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,52
71,Cypress Hills-City Line,50
72,Crown Heights South,50
73,Bushwick North,48
74,Elmhurst,48
75,Seagate-Coney Island,48
76,Spuyten Duyvil-Kingsbridge,47
77,Kingsbridge Heights,47
78,Woodhaven,47
79,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,46
80,Lower East Side,46
81,Midtown-Midtown South,44
82,Mariner's Harbor-Arlington-Port Ivory-Graniteville,43
83,Forest Hills,41
84,Van Nest-Morris Park-Westchester Square,41
85,Bensonhurst East,40
86,Yorkville,39
87,Midwood,39
88,Stapleton-Rosebank,37
89,Lenox Hill-Roosevelt Island,37
90,Springfield Gardens North,36
91,Co-op City,36
92,Woodside,35
93,Schuylerville-Throgs Neck-Edgewater Park,35
94,Clinton Hill,35
95,Ozone Park,34
96,Ridgewood,34
97,North Side-South Side,34
98,Battery Park City-Lower Manhattan,34
99,Turtle Bay-East Midtown,32
100,Pelham Bay-Country Club-City Island,32
101,Bensonhurst West,31
102,Sunset Park West,31
103,Briarwood-Jamaica Hills,31
104,Murray Hill,30
105,Starrett City,30
106,Springfield Gardens South-Brookville,30
107,Grymes Hill-Clifton-Fox Hills,30
108,Hollis,30
109,Sunset Park East,29
110,Steinway,29
111,North Corona,28
112,SoHo-TriBeCa-Civic Center-Little Italy,28
113,Lincoln Square,28
114,Brighton Beach,27
115,Murray Hill-Kips Bay,27
116,Kew Gardens,27
117,Borough Park,27
118,Kew Gardens Hills,26
119,Gravesend,26
120,Port Richmond,26
121,Fort Greene,25
122,Queensbridge-Ravenswood-Long Island City,25
123,East Williamsburg,25
124,Homecrest,25
125,West Village,25
126,East Village,25
127,Chinatown,24
128,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,24
129,Morningside Heights,23
130,Pomonok-Flushing Heights-Hillcrest,21
131,Allerton-Pelham Gardens,21
132,Elmhurst-Maspeth,21
133,Fresh Meadows-Utopia,20
134,Georgetown-Marine Park-Bergen Beach-Mill Basin,20
135,Middle Village,19
136,Rosedale,18
137,Bath Beach,18
138,Park Slope-Gowanus,17
139,Laurelton,17
140,Manhattanville,17
141,Old Astoria,16
142,Carroll Gardens-Columbia Street-Red Hook,16
143,Madison,15
144,Rego Park,15
145,Gramercy,15
146,Cambria Heights,14
147,Maspeth,14
148,West Brighton,14
149,College Point,14
150,Lindenwood-Howard Beach,13
151,Ft. Totten-Bay Terrace-Clearview,13
152,Jamaica Estates-Holliswood,13
153,North Riverdale-Fieldston-Riverdale,13
154,Queensboro Hill,13
155,Greenpoint,12
156,Bayside-Bayside Hills,12
157,Glendale,11
158,Upper East Side-Carnegie Hill,11
159,New Brighton-Silver Lake,11
160,Dyker Heights,11
161,Charleston-Richmond Valley-Tottenville,11
162,East Flushing,11
163,park-cemetery-etc-Bronx,11
164,Oakland Gardens,11
165,Bellerose,11
166,Arden Heights,10
167,East Elmhurst,10
168,Westerleigh,9
169,New Springville-Bloomfield-Travis,9
170,Great Kills,9
171,Kensington-Ocean Parkway,9
172,Prospect Heights,9
173,Oakwood-Oakwood Beach,8
174,Grasmere-Arrochar-Ft. Wadsworth,8
175,Ocean Parkway South,7
176,Brooklyn Heights-Cobble Hill,7
177,Whitestone,7
178,New Dorp-Midland Beach,6
179,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5
180,Annadale-Huguenot-Prince's Bay-Eltingville,5
181,Auburndale,5
182,Williamsburg,5
183,Old Town-Dongan Hills-South Beach,4
184,Douglas Manor-Douglaston-Little Neck,3
185,Windsor Terrace,3
186,Stuyvesant Town-Cooper Village,3
187,Glen Oaks-Floral Park-New Hyde Park,2
188,park-cemetery-etc-Queens,1
189,park-cemetery-etc-Brooklyn,1
190,Rossville-Woodrow,1
